ls_vitz;ls_energo
511000432;110204115
511000775;110402002
511001323;110403251
511002206;110410294
511002353;110501290
511002515;110502332
511002549;110502345
511002581;110502355
511002963;110506333
511003202;110507128
511003480;110508190
511003799;110508311
511003888;110508377
511000123;110106106
511000204;110106177
511000490;110204164
511000547;110204203
511000644;110313204
511001250;110403210
511001454;110404139
511001925;110407144
511003058;110506351
511003066;110506356
511003155;110506388
511003359;110508026
511003587;110508234
511000521;110204192
511001179;110403157
511001187;110403160
511001535;110405048
511001810;110407034
511002036;110407266
511002345;110501123
511002379;110501329
511002840;110504352
511003032;110506346
511003040;110506347
511003406;110508044
511003668;110508265
511001014;110403054
511001234;110403176
511001292;110403222
511001519;110405025
511001551;110405062
511001658;110405129
511001666;110405140
511002298;110411078
511002395;110501338
511002484;110502174
511003105;110506368
511003163;110506414
511003812;110508341
511003901;110508392
511000018;110105170
511000115;110106090
511000254;110202125
511000822;110402049
511000848;110402058
511000856;110402059
511001056;110403075
511001200;110403165
511001632;110405125
511002507;110502303
511002573;110502352
511002858;110506015
511002947;110506327
511000034;110105179
511000351;110204027
511000369;110204045
511000759;110401164
511000814;110402046
511001048;110403069
511001080;110403083
511001137;110403134
511001789;110407027
511001909;110407141
511002078;110408150
511002117;110410007
511002492;110502206
511000238;110201080
511000424;110204111
511000482;110204151
511000864;110402082
511000945;110402220
511001098;110403085
511001268;110403216
511001446;110404135
511001501;110405024
511002086;110408152
511002523;110502333
511002785;110504183
511003618;110508250
511000076;110105195
511000262;110202156
511000343;110204007
511000440;110204122
511000458;110204125
511000660;110401003
511000678;110401007
511000830;110402056
511000903;110402157
511000911;110402206
511000953;110402221
511001111;110403131
511001145;110403139
511001242;110403204
511000466;110204134
511000505;110204174
511000597;110205170
511000602;110305035
511001357;110404026
511001438;110404130
511001747;110405224
511002167;110410181
511002434;110502144
511002743;110503227
511003278;110507304
511003375;110508035
511003765;110508300
511000131;110106117
511000173;110106152
511000377;110204050
511000628;110306098
511001412;110404127
511001569;110405064
511001682;110405153
511001894;110407140
511002387;110501335
511002662;110503098
511002701;110503151
511003537;110508219
511003977;110514184
511000408;110204097
511000513;110204181
511000717;110401144
511000767;110401166
511001755;110405255
511001975;110407173
511002028;110407024
511002175;110410199
511002400;110502088
511002531;110502338
511002565;110502351
511002751;110503309
511002989;110506339
511000220;110106204
511000296;110202310
511000741;110401157
511000880;110402097
511000898;110402140
511001103;110403109
511001226;110403174
511001349;110404011
511001496;110405002
511001593;110405077
511001705;110405160
511001797;110407028
511001852;110407112
511000084;110105199
511000327;110203272
511000979;110403003
511001218;110403170
511001284;110403221
511001585;110405075
511001674;110405143
511001690;110405157
511001713;110405209
511001802;110407032
511002125;110410013
511002303;110411082
511002418;110502128
511002442;110502145
511002670;110503111
511002955;110506332
511003294;110507327
511003498;110508197
511003692;110508274
511003731;110508291
511003773;110508302
511004070;110601001
511004591;110606037
511004787;110901264
511005301;110903201
511005563;110904049
511005848;110904166
511003715;110508285
511003870;110508374
511004313;110604149
511004444;110605048
511005018;110902003
511005416;110904008
511005482;110904023
511005783;110904154
511006323;110904465
511007492;110905438
511007581;110905561
511008236;110920415
511008799;111002057
511004305;110604147
511004428;110605044
511004648;110606114
511004711;110606131
511005212;110903056
511005408;110904007
511005791;110904155
511006315;110904464
511006975;110904863
511007272;110905298
511007280;110905305
511007612;110915264
511007688;110920006
511003707;110508281
511003927;110512002
511003935;110512306
511004436;110605047
511004698;110606126
511004868;110901322
511004931;110901361
511004949;110901366
511005026;110902011
511005181;110903048
511005204;110903052
511005644;110904075
511005872;110904192
511004517;110605100
511004575;110606022
511004680;110606121
511004981;110901038
511005173;110902304
511005597;110904060
511005678;110904088
511005856;110904170
511005898;110904221
511006103;110904334
511006381;110904483
511006535;110904605
511004127;110601135
511004258;110604130
511004290;110604146
511004876;110901331
511005246;110903144
511005262;110903194
511005652;110904077
511005709;110904095
511005830;110904162
511006373;110904475
511006404;110904494
511006488;110904560
511006878;110904832
511001860;110407121
511001983;110407177
511002052;110408129
511002159;110410106
511002191;110410231
511002248;110410540
511002280;110410588
511002426;110502130
511002557;110502349
511002874;110506305
511002905;110506319
511003723;110508290
511003820;110508345
511003121;110506372
511004321;110604151
511004460;110605074
511004745;110606168
511004761;110901069
511005547;110904037
511005806;110904157
511005822;110904159
511005911;110904264
511006179;110904386
511006420;110904521
511006446;110904524
511007719;110920020
511003838;110508348
511004004;110514294
511004012;110518358
511004216;110604052
511004397;110605021
511004452;110605059
511005424;110904010
511006399;110904489
511006616;110904648
511007109;110905057
511007345;110905370
511007387;110905397
511007523;110905471
511004266;110604134
511004274;110604142
511004541;110605128
511005288;110903198
511005694;110904093
511005961;110904282
511006365;110904474
511006763;110904767
511006771;110904769
511007141;110905120
511007159;110905129
511007450;110905425
511007476;110905428
511001331;110403252
511001404;110404096
511001624;110405124
511001771;110406038
511001941;110407154
511002094;110408172
511002468;110502164
511002638;110503064
511002777;110504135
511002808;110504270
511003082;110506360
511003244;110507163
511003341;110508019
511005937;110904273
511005953;110904277
511005979;110904286
511006234;110904407
511006438;110904523
511006551;110904612
511006836;110904803
511007214;110905236
511007515;110905460
511007604;110915262
511007874;110920224
511007989;110920292
511008066;110920323
511009266;111104135
511009282;111104160
511009452;111104298
511009680;111116037
511010770;111406044
511010958;111407043
511011352;111905458
511011572;111907034
511011645;111907159
511011988;111909046
511012251;111910344
511012316;111910430
511012497;111910674
511003430;110508121
511003642;110508261
511003650;110508262
511003804;110508340
511003854;110508369
511003985;110514185
511004185;110604034
511004193;110604050
511004567;110605167
511004672;110606118
511004795;110901270
511004818;110901289
511005076;110902118
511005107;110902226
511002913;110506320
511003286;110507326
511003846;110508361
511003862;110508370
511004494;110605093
511004842;110901297
511005123;110902236
511005165;110902265
511005319;110903205
511005539;110904035
511005571;110904051
511005775;110904152
511007727;110920037
511007913;110920256
511008139;110920355
511008757;111001082
511009737;111116073
511010314;111403123
511010380;111404101
511010550;111405161
511010827;111406059
511011213;110501348
511011679;111907186
511011750;111908016
511006098;110904327
511006470;110904547
511007303;110905315
511007395;110905401
511007442;110905423
511007882;110920242
511008032;110920305
511008040;110920319
511008498;110931074
